CO_NCM;CO_UNID;CO_SH6;CO_PPE;CO_PPI;CO_FAT_AGREG;CO_CUCI_ITEM;CO_CGCE_N3;CO_SIIT;CO_ISIC_CLASSE;CO_EXP_SUBSET;NO_NCM_POR;NO_NCM_ESP;NO_NCM_ING
38249923;10;382499;3990;3639;03;59899;240;2000;2029;1499;Preparacoes contendo trigliceridios dos acidos caprilico e caprico;Las preparaciones que contienen trigliceridos de los acidos caprilico y caprico;Preparations containing triglycerides of caprylic and capric acids
38249924;10;382499;3990;3639;03;59899;240;2000;2029;1499;esteres de alcoois graxos de C12 a C20 do acido metacrilico e suas misturas; esteres de acidos monocarboxilicos de C10 ramificados com glicerol;esteres de alcoholes grasos de C12 a C20 del acido metacrilico y mezclas de los mismos; esteres de acidos monocarboxilicos del C10 ramificados con glicerol;Esters of fatty alcohols of C12 to C20 of methacrylic acid and mixtures thereof; esters of monocarboxylic C10 branched with glycerol
38249925;10;382499;3990;3639;03;59899;240;2000;2029;1499;Misturas de esteres dimetilicos dos acidos adipico, glutarico e succinico; misturas de acidos dibasicos de C11 e C12; acidos naftenicos, seus sais insoluveis em agua e seus esteres;Las mezclas de esteres dimetilicos de los acidos adipico, succinico y acido glutarico; mezclas de acidos dibasicos de C11 C12; acidos naftenicos, sus sales insolubles en agua y esteres;Mixtures of dimethyl esters of adipic, succinic and glutaric acid; Mixtures of dibasic acids C11 and C12; naphthenic acids, their waterinsoluble salts and esters
38249929;10;382499;3990;3639;03;59899;240;2000;2029;1499;Outros derivados de acidos graxos industriais; outras misturas e preparacoes contendo alcoois graxos ou acidos carboxilicos ou derivados destes produtos;Otros derivados de acidos grasos industriales; Otras mezclas y preparados que contengan alcoholes grasos o acidos carboxilicos o derivados de los mismos;Other industrial fatty acid derivatives; Other mixtures and preparations containing fatty alcohols or carboxylic acids or derivatives thereof
38249931;10;382499;3990;3639;03;59899;240;2000;2029;1499;Misturas e preparacoes para borracha ou plastico e outras misturas e preparacoes para endurecer resinas sinteticas, colas, pinturas ou usos similares, que contenham isocianatos de hexametileno ou outros isocianatos;Las mezclas y preparados para caucho o plastico, y otras mezclas y preparaciones para endurecer resinas sinteticas, adhesivos, pinturas o usos similares, que contienen isocianatos de hexametileno u otros isocianatos;Mixtures and preparations of a kind used for the manufacture of paints and varnishes (including enamels, lacquers and distempers), containing isocyanates of hexamethylene or other isocyanates
38249932;10;382499;3990;3639;03;59899;240;2000;2029;1499;Misturas e preparacoes para borracha ou plastico e outras misturas e preparacoes para endurecer resinas sinteticas, colas, pinturas ou usos similares, que contenham aminas graxas de C8 a C22;Las mezclas y preparados para caucho o plastico, y otras mezclas y preparaciones para endurecer resinas sinteticas, adhesivos, pinturas o usos similares, que contienen aminas grasas de C8 a C22;Mixtures and preparations of a kind used for the manufacture of paints and varnishes (including enamels, lacquers and distempers), which contain fatty amines from C8 to C22
38249933;10;382499;3990;3639;03;59899;240;2000;2029;1499;Misturas e preparacoes para borracha ou plastico e outras misturas e preparacoes para endurecer resinas sinteticas, colas, pinturas ou usos similares, que contenham polietilenoaminas e dietilenotriaminas, proprias para a coagulacao do latex;Las mezclas y preparados para caucho o plastico, y otras mezclas y preparaciones para endurecer resinas sinteticas, adhesivos, pinturas o usos similares, que contiene polietilenaminas y dietilentriaminas, adecuados para la coagulacion de latex;Mixtures and preparations of a kind used for the manufacture of paints and varnishes (including enamels, lacquers and distempers), containing polyethyleneamines and diethylenetriamines, suitable for latex coagulation
38249934;10;382499;3990;3639;03;59899;240;2000;2029;1499;Outras misturas contendo polietilenoaminas;Otras mezclas que contengan polietilenaminas;Other mixtures containing polyethyleneamines
38249935;10;382499;3990;3639;03;59899;240;2000;2029;1499;Misturas de mono, di e triisopropanolaminas;Las mezclas de mono, di y triisopropanolamina;Mixtures of mono, di and triisopropanolamine
38249936;10;382499;3990;3639;03;59899;240;2000;2029;1499;Reticulantes para silicones;Reticulantes para siliconas;Crosslinkers for silicones
38249939;10;382499;3990;3639;03;59899;240;2000;2029;1499;Outras misturas e preparacoes para borracha ou plastico e outras misturas e preparacoes para endurecer resinas sinteticas, colas, pinturas ou usos similares;Otras mezclas y preparados para caucho o plastico, y otras mezclas y preparaciones para endurecer resinas sinteticas, adhesivos, pinturas o usos similares;Other mixtures and preparations of a kind used for the manufacture of paints and varnishes (including enamels, lacquers and distempers)
38249941;10;382499;3990;3639;03;59899;240;2000;2029;1499;Preparacoes desincrustantes, anticorrosivas ou antioxidantes;Descalcificacion, anticorrosivo y preparaciones antioxidantes;Descaling, anticorrosive and antioxidant preparations
38249942;10;382499;3990;3639;03;59899;240;2000;2029;1499;Mistura eutetica de difenila e oxido de difenila;Mezcla eutectica de difenilo y de oxido de difenil;Eutectic mixture of diphenyl and diphenyl oxide
38249943;10;382499;3990;3639;03;59899;240;2000;2029;1499;Misturas a base de trimetil3,9dietildecano;Misturas a base de trimetil3,9dietildecano;Mixtures based on trimethyl3,9diethyldecane
38249949;10;382499;3990;3639;03;59899;240;2000;2029;1499;Outras misturas e preparacoes desincrustantes, anticorrosivas ou antioxidantes; fluidos para a transferencia de calor;Otras mezclas y preparaciones de descalcificacion, anticorrosivos y antioxidantes; fluidos de transferencia de calor;Other distilling, anticorrosive or antioxidising mixtures and preparations; Fluids for heat transfer
38249951;10;382499;3990;3639;03;59899;240;2000;2029;1499;Antiespumantes contendo fosfato de tributila em solucao de alcool isopropilico;Antiespumantes que contienen fosfato de tributilo en solucion de alcohol isopropilico;Defoamers containing tributyl phosphate in isopropyl alcohol solution
38249952;10;382499;3990;3639;03;59899;240;2000;2029;1499;Misturas de polietilenoglicois;Las mezclas de polietilenglicol;Mixtures of polyethylene glycol
38249953;10;382499;3990;3639;03;59899;240;2000;2029;1499;Polipropilenoglicol liquido;Polietilenglicol liquido;Polyethylene glycol liquid
38086100;10;380861;3293;3293;03;5911;322;2000;2021;1499;Mercadorias mencionadas na Nota de subposicoes 2 do presente Capitulo, acondicionadas em embalagens com um conteudo de peso liquido nao superior a 300 g;Los productos incluidos en la Nota de subpartidas 2 deste Capitulo, envasados en envases con un contenido inferior o igual a 300 g;Goods specified in Note of Subheadings 2 of this Chapter, packed in packages with a net weight content not exceeding 300 g
38086210;10;380862;3293;3293;03;5911;240;2000;2021;1499;Mercadorias mencionadas na Nota de subposicoes 2 do presente Capitulo, acondicionadas em embalagens com um conteudo de peso liquido superior a 300 g, mas nao superior a 7,5 kg, a base de alfacipermetrina (ISO);Los productos incluidos en la Nota de subpartidas 2 deste Capitulo, envasado en envases de un contenido mayor que 300 g, pero inferior o igual a 7,5 kg, basado en alfacipermetrina (ISO);Goods specified in Note of Subheadings 2 of this Chapter, packed in packages with a net weight content greater than 300 g but not exceeding 7.5 kg, based on alphacypermethrin (ISO)
38086290;10;380862;3293;3293;03;5911;322;2000;2021;1499;Outras mercadorias mencionadas na Nota de subposicoes 2 do presente Capitulo, acondicionadas em embalagens com um conteudo de peso liquido nao superior a 300 g;Otros productos incluidos en la Nota de subpartidas 2 deste Capitulo, envasados en envases con un contenido inferior o igual a 300 g;Other goods specified in Note of Subheadings 2 of this Chapter, packed in packages with a net weight content not exceeding 300 g
38086910;10;380869;3293;3293;03;5911;240;2000;2021;1499;Outras mercadorias mencionadas na Nota de subposicoes 2 do presente Capitulo, a base de alfacipermetrina (ISO);Otros productos incluidos en la Nota de subpartidas 2 deste Capitulo, basado en alfacipermetrina (ISO);Other goods specified in Note of Subheadings 2 of this Chapter, based on alphacypermethrin (ISO)
38086990;10;380869;3293;3293;03;5911;240;2000;2021;1499;Outras mercadorias mencionadas na Nota de subposicoes 2 do presente Capitulo,;Otros productos incluidos en la Nota de subpartidas 2 deste Capitulo;Other goods specified in Note of Subheadings 2 of this Chapter
38123100;10;381231;3990;3990;03;59893;240;2000;2029;1499;Misturas de oligomeros de 2,2,4trimetil1,2diidroquinolina (TMQ);Mezclas de oligomeros de 2,2,4trimetil1,2diidroquinolina (TMQ);Mixtures of oligomers of 2,2,4trimethyl1,2diidroquinolina (TMQ)
38123911;10;381239;3990;3990;03;59893;240;2000;2029;1499;Preparacoes antioxidantes e outros estabilizadores compostos, para borracha, que contenham derivados Nsubstituidos de pfenilenodiamina;Preparaciones antioxidantes y demas estabilizantes compuestos, para caucho, que contienen derivados Nsustituidos de pfenilendiamina;Antioxidants preparations and other compounds stabilizers, for rubber, containing derivatives Nsubstituted of pphenylenediamine
38123912;10;381239;3990;3990;03;59893;240;2000;2029;1499;Preparacoes antioxidantes e outros estabilizadores compostos, para borracha, que contenham fosfitos de alquila, de arila ou de alquilarila;Preparaciones antioxidantes y demas estabilizantes compuestos, para caucho, que contiene fosfato de alquilo, de arilo o alquilarilo;Antioxidants preparations and other compounds stabilizers, for rubber, containing alkyl phosphate, of aryl or alkylaryl
38123919;10;381239;3990;3990;03;59893;240;2000;2029;1499;Preparacoes antioxidantes e outros estabilizadores compostos, para borracha;Preparaciones antioxidantes y demas estabilizantes compuestos, para caucho;Antioxidants preparations and other compounds stabilizers, for rubber
38123921;10;381239;3990;3990;03;59893;240;2000;2029;1499;Preparacoes antioxidantes e outros estabilizadores compostos, para plastico, que contenham derivados Nsubstituidos de pfenilenodiamina;Preparaciones antioxidantes y demas estabilizantes compuestos, para plastico, que contienen derivados Nsustituidos de pfenilendiamina;Antioxidants preparations and other compounds stabilizers, for plastic, containing derivatives Nsubstituted of pphenylenediamine
38123929;10;381239;3990;3990;03;59893;240;2000;2029;1499;Outras preparacoes antioxidantes e outros estabilizadores compostos, para borracha ou plastico;Otras preparaciones antioxidantes y demas estabilizantes compuestos para caucho o plastico;Other antioxidising preparations and other compound stabilizers for rubber or plastics
38248400;10;382484;3990;3639;03;59899;240;2000;2029;1499;Mercadorias mencionadas na Nota de subposicoes 3 do presente Capitulo, que contenham aldrin, canfecloro, clordano, clordecona , DDT, 1,1,1tricloro2,2bis(pclorofenil)etano), dieldrin, endossulfan, endrin, heptacloro ou mirex;Las mercancias que contienen aldrin, canfeclor, clordano, clordecona, el DDT, el 1,1,1tricloro2,2bis (pclorofenil) etano), dieldrin, endosulfan, endrina, heptacloro o mirex (ISO);Goods containing aldrin, camphechlor, chlordane, chlordecone, DDT, 1,1,1trichloro2,2bis (pchlorophenyl) ethane), dieldrin, endosulfan, endrin, heptachlor or mirex (ISO)
38248500;10;382485;3990;3639;03;59899;240;2000;2029;1499;Mercadorias mencionadas na Nota de subposicoes 3 do presente Capitulo, que contenham 1,2,3,4,5,6hexaclorocicloexano (HCH (ISO)), incluindo o lindano (ISO, DCI);Las mercancias que contienen 1,2,3,4,5,6hexaclorociclohexano (HCH (ISO)), incluido el lindano (ISO, DCI);Goods containing 1,2,3,4,5,6hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, DCI)
29398000;10;293980;3329;3329;03;54149;240;1000;2100;1402;Outros alcaloides, naturais ou reproduzidos por sintese, seus sais, eteres, esteres e outros derivados;Otros alcaloides, naturales o producidas por sintesis, sus sales, esteres y otros derivados;Other alkaloids, natural or produced by synthesis, and their salts, esters and other derivatives
30021100;10;300211;3990;3221;03;54163;322;1000;2100;1406;Estojos de diagnostico da malaria (paludismo);Kits de diagnostico de malaria;Diagnostic kits to detect malaria
30021211;10;300212;3990;3990;03;54163;322;1000;2100;1406;Antiofidicos e outros antivenenosos;Antiofidicos y otros antivenenosos;Antiophidic and other anti poisons
30021212;10;300212;3990;3990;03;54163;322;1000;2100;1406;Antitetanico;Antitetanica;Antitetanus
30021213;10;300212;3990;3990;03;54163;322;1000;2100;1406;Anticatarral;Anticatarral;Anticatarrhal
30021214;10;300212;3990;3990;03;54163;322;1000;2100;1406;Antipiogenico;Antipiogenico;Antipiogenic
30021215;10;300212;3990;3990;03;54163;322;1000;2100;1406;Antidifterico;Antidifterico;Antidiphtherial
30021216;10;300212;3990;3990;03;54163;322;1000;2100;1406;Polivalentes;Polivalentes;Polyvalents
30021219;10;300212;3990;3990;03;54163;322;1000;2100;1406;Outros antissoros e outras fracoes do sangue;Otros anti sueros y otros componentes de la sangre;Other anti serum and other blood fractions
30021221;10;300212;3990;3221;03;54163;322;1000;2100;1406;Imunoglobulina antiRh;Imunoglobulina antiRh;AntiRh immunoglobulin
30021222;10;300212;3990;3221;03;54163;322;1000;2100;1406;Outras imunoglobulinas sericas;Otras inmunoglobulinas sericas;Other serum immunoglobulins
30021223;10;300212;3990;3221;03;54163;322;1000;2100;1406;Concentrado de fator VIII;Concentrado de fator VIII;Factor VIII concentrate
30021224;10;300212;3990;3221;03;54163;322;1000;2100;1406;Soroalbumina, em forma de gel, para preparacao de reagentes de diagnostico;La suero albumina, en forma de gel, para la preparacion de reactivos de diagnostico;Serum albumin, in gel form, for preparing diagnostic reagents
30021229;10;300212;3990;3221;03;54163;322;1000;2100;1406;Outras fracoes do sangue, exceto as preparadas como medicamentos;Otras fracciones de la sangre, excepto las preparadas como medicamento;Other fractions of blood, except those prepared as medicines
30021231;10;300212;3338;3338;03;54163;322;1000;2100;1406;Soroalbumina, exceto a humana;Suero albumina, excepto humana;Serum albumin, except human
30021232;10;300212;3338;3338;03;54163;322;1000;2100;1406;Plasmina (fibrinolisina);Plasmina (fibrinolisina);Plasmin (fibrinolysin)
30021233;10;300212;3338;3338;03;54163;322;1000;2100;1406;Uroquinase;Uroquinasa;Urokinase
30021234;10;300212;3338;3338;03;54163;322;1000;2100;1406;Imunoglobulina e cloridrato de histamina, associados;Inmunoglobulina y clorhidrato de histamina, asociado;Immunoglobulin and histamine chloridrate, associated
30021235;10;300212;3338;3338;03;54163;322;1000;2100;1406;Imunoglobulina G, liofilizada ou em solucao;Inmunoglobulina G, liofilizada, o en solucion;Immunoglobulin G, lyophilized, or in solution
30021236;10;300212;3338;3338;03;54163;322;1000;2100;1406;Soroalbumina humana;Suero albumina humana;Human serum albumin
30021239;10;300212;3338;3338;03;54163;322;1000;2100;1406;Outras fracoes do sangue, preparadas como medicamentos;Otras fracciones de la sangre, preparadas como medicamento;Other fractions of blood, prepared as medicines
30021300;10;300213;3990;3221;03;54163;322;1000;2100;1406;Produtos imunologicos, nao misturados, nao apresentados em doses nem acondicionados para venda a retalho;Productos inmunologicos, sin mezclar, sin dosificar ni acondicionar para la venta al por menor;Immunological products, unmixed, not in measured doses or put up for retail sale
30021410;10;300214;3990;3221;03;54163;322;1000;2100;1406;Anticorpos monoclonais em solucao tampao, contendo albumina bovina, nao apresentados em doses nem acondicionados para venda a retalho;Los anticuerpos monoclonales en solucion tampon que contiene albumina bovina, sin dosificar ni acondicionar para la venta al por menor;Monoclonal antibodies in buffer solution containing bovine albumin, not in measured doses or put up for retail sale
30021490;10;300214;3338;3338;03;54163;322;1000;2100;1406;Outros produtos imunologicos, misturados, nao apresentados em doses nem acondicionados para venda a retalho;Otros productos inmunologicos, mezclados, sin dosificar ni acondicionar para la venta al por menor;Other immunological products, mixed, not in measured doses or put up for retail sale
30021510;10;300215;3338;3338;03;54163;322;1000;2100;1406;Interferon beta; peg interferon alfa2a;El interferon beta; peginterferon alfa2a;Interferon beta; peginterferon alfa2a
30021520;10;300215;3338;3338;03;54163;322;1000;2100;1406;Basiliximab (DCI); bevacizumab (DCI); daclizumab (DCI); etanercept (DCI); gemtuzumab ozogamicin (DCI); oprelvekin (DCI); rituximab (DCI); trastuzumab (DCI);Basiliximab (DCI); bevacizumab (DCI); daclizumab (DCI); etanercept (DCI); gemtuzumab ozogamicin (DCI); oprelvekin (DCI); rituximab (DCI); trastuzumab (DCI);Basiliximab (DCI); bevacizumab (DCI); daclizumab (DCI); etanercept (DCI); gemtuzumab ozogamicin (DCI); oprelvekin (DCI); rituximab (DCI); trastuzumab (DCI)
30021590;10;300215;3338;3338;03;54163;322;1000;2100;1406;Outros produtos imunologicos, apresentados em doses ou acondicionados para venda a retalho;Otros productos inmunologicos, dosificados o acondicionados para la venta al por menor;Other immunological products, in measured doses or put up for retail sale
30021900;10;300219;3990;3221;03;54163;322;1000;2100;1406;Outros antissoros, outras fracoes do sangue e produtos imunologicos, mesmo modificados ou obtidos por via biotecnologica;Otros anti sueros, demas fracciones de la sangre y productos inmunologicos, incluso modificados u obtenidos por proceso biotecnologico;Other anti serums, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes
30034100;10;300341;3338;3338;03;54231;322;1000;2100;1406;Medicamentos que contenham efedrina ou seus sais, preparados para fins terapeuticos ou profilaticos, mas nao apresentados em doses nem acondicionados para venda a retalho;Los medicamentos que contienen efedrina o sus sales, para usos terapeuticos o profilacticos, sin dosificar ni acondicionar para la venta al por menor;Medications containing ephedrine or its salts, for therapeutic or prophylactic uses, not in measured doses or put up for retail sale
30034200;10;300342;3338;3338;03;54231;322;1000;2100;1406;Medicamentos que contenham pseudoefedrina (DCI) ou seus sais, preparados para fins terapeuticos ou profilaticos, mas nao apresentados em doses nem acondicionados para venda a retalho;Los medicamentos que contienen pseudoefedrina (DCI) o sales de los mismos, para usos terapeuticos o profilacticos, sin dosificar ni acondicionar para la venta al por menor;Medicines containing pseudoephedrine (DCI) or salts thereof, for therapeutic or prophylactic uses, not in measured doses or put up for retail sale
28531000;10;285310;3990;3990;03;52499;240;2000;2011;1401;Cloreto de cianogenio (clorociano);El cloruro de cianogeno (clorociano);Cyanogen chloride
28539011;10;285390;3990;3990;03;52499;240;2000;2011;1401;Fosfetos, de constituicao quimica definida ou nao, de aluminio;Fosfuro, que se define quimicamente o no, de aluminio;Phosphide, chemically defined or not, aluminum
28539012;10;285390;3990;3990;03;52499;240;2000;2011;1401;Fosfetos, de constituicao quimica definida ou nao, de magnesio;Fosfuro, que se define quimicamente o no, de magnesio;Phosphide, chemically defined or not, magnesium
28539013;10;285390;3990;3990;03;52499;240;2000;2011;1401;Fosfetos, de constituicao quimica definida ou nao, de cobre (fosfetos de cobre), contendo mais de 15 %, em peso, de fosforo;Fosfuro, que se define quimicamente o no, de cobre (fosfito de cobre), que contiene mas de 15%, en peso, de fosforo;Phosphide, chemically defined or not, copper (copper phosphite), containing over 15%, by weight, of phosphorus
28539019;10;285390;3990;3990;03;52499;240;2000;2011;1401;Outros fosfetos, de constituicao quimica definida ou nao;Otros fosfuros, que se define quimicamente o no;Other phosphide, chemically defined or not
28539020;10;285390;3990;3990;03;52499;240;2000;2011;1401;Cianamida e seus derivados metalicos;Cianamida y sus derivados metalicos;Cyanamide and its metal derivatives
28539030;10;285390;3990;3990;03;52499;240;2000;2011;1401;Sulfocloretos de fosforo;Sulfatos cloruros de fosforo;Sulphate chlorides of phosphorus
28539090;10;285390;3990;3990;03;52499;240;2000;2011;1401;Outros produtos da Posicao 28.53;Otros productos de la Sub partida 28.53;Other products of Heading 28.53
29038300;10;290383;3710;3710;03;51139;240;2000;2011;1402;Mirex (ISO);Mirex (ISO);Mirex (ISO)
29038900;10;290389;3710;3710;03;51139;240;2000;2011;1402;Outros derivados halogenados dos hidrocarbonetos ciclanicos, ciclenicos ou cicloterpenicos;Otros derivados halogenados de hidrocarburos ciclanos, ciclenes o cicloterpenicos;Other halogenated derivatives of hydrocarbons cyclanes, cyclenes or cycle terpheniques
29039300;10;290393;3710;3710;03;51139;240;2000;2011;1402;Pentaclorobenzeno (ISO);Pentaclorobenceno (ISO);Pentachlorobenzene (ISO)
29039400;10;290394;3710;3710;03;51139;240;2000;2011;1402;Hexabromobifenilas;Hexabromobifenilo;Hexabromobiphenyl
29043100;10;290431;3710;3710;03;5114;240;2000;2011;1402;acido perfluoroctano sulfonico;El acido sulfonico de perfluorooctano;Perfluorooctane sulfonic acid
29043200;10;290432;3710;3710;03;5114;240;2000;2011;1402;Perfluoroctanossulfonato de amonio;Perfluoroctanossulfonato de amonio;Perfluorooctane sulfonate of ammonium
29043300;10;290433;3710;3710;03;5114;240;2000;2011;1402;Perfluoroctanossulfonato de litio;Perfluoroctanossulfonato de litio;Perfluorooctane sulphonate of lithium
29043400;10;290434;3710;3710;03;5114;240;2000;2011;1402;Perfluoroctanossulfonato de potassio;Perfluoroctanossulfonato de potassio;Perfluorooctane sulphonate of potassium
29043500;10;290435;3710;3710;03;5114;240;2000;2011;1402;Outros sais do acido perfluoroctano sulfonico;Otros sales del acido sulfonico de perfluorooctano;Other salts of perfluorooctane sulfonic acid
29043600;10;290436;3710;3710;03;5114;240;2000;2011;1402;Fluoreto de perfluoroctanossulfonila;Fluoreto de perfluoroctanossulfonila;Perfluoroctanoyl sulfonyl fluoride
29049100;10;290491;3710;3710;03;5114;240;2000;2011;1402;Tricloronitrometano (cloropicrina);Tricloronitrometano (cloropicrina);Trichloronitromethane (chloropicrin)
29049911;10;290499;3710;3710;03;5114;240;2000;2011;1402;1Cloro4nitrobenzeno;1Cloro4nitrobenzeno;1Chloro4nitrobenzene
29049912;10;290499;3710;3710;03;5114;240;2000;2011;1402;1Cloro2,4dinitrobenzeno;1Cloro2,4dinitrobenzeno;1Chloro2,4dinitrobenzene
29049913;10;290499;3710;3710;03;5114;240;2000;2011;1402;2Cloro1,3dinitrobenzeno;2Cloro1,3dinitrobenzeno;2Chloro1,3dinitrobenzene
29049914;10;290499;3710;3710;03;5114;240;2000;2011;1402;4Cloroalfa,alfa,alfatrifluor3,5dinitrotolueno;4Cloroalfa,alfa,alfatrifluor3,5dinitrotolueno;4chloroalpha,alpha,alphatrifluoro3,5dinitrotoluene
29049915;10;290499;3710;3710;03;5114;240;2000;2011;1402;oNitroclorobenzeno; mnitroclorobenzeno;oNitroclorobenzeno; mnitroclorobenzeno;oNitrochlorobenzene; mnitrochlorobenzene
29049916;10;290499;3710;3710;03;5114;240;2000;2011;1402;1,2Dicloro4nitrobenzeno;1,2Dicloro4nitrobenzeno;1,2Dichloro4nitrobenzene
29049919;10;290499;3710;3710;03;5114;240;2000;2011;1402;Outros derivados nitroalogenados;Otros derivados nitroalogenados;Other derivatives nitrogen halogenated
29049921;10;290499;3710;3710;03;5114;240;2000;2011;1402;acidos dinitroestilbenodissulfonicos;acidos dinitroestilbenodissulfonicos;Dinitroestilbenodisulfonic acids
29049929;10;290499;3710;3710;03;5114;240;2000;2011;1402;Outros derivados nitrossulfonados;Otros derivados nitrossulfonados;Other nitrosulphonated derivatives
29049930;10;290499;3710;3710;03;5114;240;2000;2011;1402;Cloreto de ptoluenossulfonila (cloreto de tosila);Cloreto de ptoluenossulfonila (cloreto de tosila);Ptoluenesulfonyl chloride (tosyl chloride)
29049940;10;290499;3710;3710;03;5114;240;2000;2011;1402;Cloreto de otoluenossulfonila;Cloreto de otoluenossulfonila;Chloride of otoluenesulfonyl
29049990;10;290499;3710;3710;03;5114;240;2000;2011;1402;Outros derivados sulfonados, nitrados ou nitrosados dos hidrocarbonetos, mesmo halogenados;Otros derivados sulfonados, nitrados ou nitrosados dos hidrocarbonetos, mismo halogenados;Other derivatives sulphonated, nitrated or nitrosated of hydrocarbons, whether or not halogenated
29105000;10;291050;3990;3990;03;51615;240;2000;2011;1402;Endrin (ISO);La endrina (ISO);Endrin (ISO)
29146200;10;291462;3101;3101;03;51629;240;2000;2011;1402;Coenzima Q10 (ubidecarenona (DCI));Coenzima Q10 (ubidecarenona (DCI));Coenzyme Q10 (ubidecarenone (DCI))
29147100;10;291471;3101;3101;03;51629;240;2000;2011;1402;Clordecona (ISO);Clordecona (ISO);Chlordecone (ISO)
29147911;10;291479;3101;3101;03;51629;240;2000;2011;1402;1Cloro5hexanona;1Cloro5hexanona;1Chloro5hexanone
29147919;10;291479;3101;3101;03;51629;240;2000;2011;1402;Outros derivados halogenados;Otros derivados halogenados;Other halogenated derivatives
29147921;10;291479;3101;3101;03;51629;240;2000;2011;1402;Bissulfito sodico de menadiona;Bisulfito sodico de menadiona;Menadione sodium bisulfite
29147922;10;291479;3101;3101;03;51629;240;2000;2011;1402;acido 2hidroxi4metoxibenzofenona5sulfonico (sulisobenzona);acido 2hidroxi4metoxibenzofenona5sulfonico (sulisobenzona);Acid 2hidroxi4metoxibenzofenona5sulfonico (sulisobenzona)
29147929;10;291479;3101;3101;03;51629;240;2000;2011;1402;Outros derivados sulfonados;Otros derivados sulfonados;Other sulfonated derivatives
29147990;10;291479;3101;3101;03;51629;240;2000;2011;1402;Outros derivados halogenados, nitrados ou nitrosados;Otros derivados halogenados, nitrados ou nitrosados;Other halogenated, nitrated or nitrosated derivatives
29202100;10;292021;3990;3990;03;51639;240;2000;2011;1402;Fosfito de dimetila;Fosfito de dimetil;Dimethyl phosphite
29202200;10;292022;3990;3990;03;51639;240;2000;2011;1402;Fosfito de dietila;Fosfito dietilico;Dimethyl diethyl
29202300;10;292023;3990;3990;03;51639;240;2000;2011;1402;Fosfito de trimetila;Fosfito de trimetil;Trimethyl phosphite
